Timestamp(ms),IP_Address,RTT(ms),SequenceNum
403573088,127.0.0.1,36,320
403573088,127.0.0.1,29,321
403573095,127.0.0.1,36,321
403573095,127.0.0.1,28,322
403573095,127.0.0.1,22,323
403573095,127.0.0.1,29,322
403573095,127.0.0.1,22,323
403573095,127.0.0.1,15,324
403573122,127.0.0.1,36,325
403573122,127.0.0.1,42,324
403573123,127.0.0.1,36,325
403573123,127.0.0.1,29,326
403573123,127.0.0.1,29,326
403573150,127.0.0.1,49,327
403573150,127.0.0.1,42,328
403573150,127.0.0.1,36,329
403573157,127.0.0.1,56,327
403573157,127.0.0.1,49,328
403573157,127.0.0.1,42,329
403573157,127.0.0.1,35,330
403573184,127.0.0.1,63,330
403573185,127.0.0.1,56,331
403573185,127.0.0.1,50,332
403573185,127.0.0.1,43,333
403573185,127.0.0.1,36,334
403573185,127.0.0.1,56,331
403573185,127.0.0.1,49,332
403573185,127.0.0.1,42,333
403573185,127.0.0.1,36,334
403573186,127.0.0.1,29,335
403573186,127.0.0.1,22,336
403573186,127.0.0.1,29,335
403573186,127.0.0.1,22,336
403573186,127.0.0.1,16,337
403573186,127.0.0.1,16,337
403573212,127.0.0.1,35,338
403573220,127.0.0.1,43,338
403573220,127.0.0.1,36,339
403573220,127.0.0.1,29,340
403573220,127.0.0.1,36,339
403573220,127.0.0.1,29,340
403573220,127.0.0.1,22,341
403573220,127.0.0.1,15,342
403573221,127.0.0.1,23,341
403573221,127.0.0.1,16,342
403573240,127.0.0.1,28,343
403573240,127.0.0.1,28,343
403573275,127.0.0.1,56,344
403573275,127.0.0.1,49,345
403573275,127.0.0.1,42,346
403573282,127.0.0.1,63,344
403573282,127.0.0.1,56,345
403573282,127.0.0.1,48,346
403573282,127.0.0.1,43,347
403573282,127.0.0.1,36,348
403573283,127.0.0.1,44,347
403573283,127.0.0.1,37,348
403573283,127.0.0.1,29,349
403573283,127.0.0.1,22,350
403573302,127.0.0.1,48,349
403573302,127.0.0.1,42,350
403573303,127.0.0.1,35,351
403573303,127.0.0.1,29,352
403573303,127.0.0.1,35,351
403573303,127.0.0.1,28,352
403573303,127.0.0.1,21,353
403573338,127.0.0.1,57,353
403573338,127.0.0.1,50,354
403573338,127.0.0.1,43,355
403573338,127.0.0.1,49,354
403573338,127.0.0.1,43,355
403573338,127.0.0.1,36,356
403573339,127.0.0.1,30,357
403573339,127.0.0.1,37,356
403573339,127.0.0.1,29,357
403573358,127.0.0.1,42,358
403573358,127.0.0.1,35,359
403573358,127.0.0.1,28,360
403573366,127.0.0.1,50,358
403573366,127.0.0.1,43,359
403573366,127.0.0.1,36,360
403573366,127.0.0.1,29,361
403573366,127.0.0.1,29,361
403573366,127.0.0.1,22,362
403573366,127.0.0.1,16,363
403573392,127.0.0.1,34,364
403573400,127.0.0.1,56,362
403573400,127.0.0.1,49,363
403573400,127.0.0.1,42,364
403573401,127.0.0.1,36,365
403573401,127.0.0.1,28,366
403573401,127.0.0.1,36,365
403573401,127.0.0.1,28,366
403573401,127.0.0.1,23,367
403573401,127.0.0.1,16,368
403573427,127.0.0.1,35,369
403573427,127.0.0.1,49,367
403573428,127.0.0.1,43,368
403573428,127.0.0.1,36,369
403573428,127.0.0.1,28,370
