Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
100025900,0.0000,1995,10857.00,33546,2681,0,0,0,0,0,0,1795872.65,3903.65,0.00,0.00,0.00,0.00,0.00,0.00
100026900,0.0000,2058,10857.00,33546,2712,0,0,0,0,0,0,1795872.65,3093.44,0.00,0.00,0.00,0.00,0.00,0.00
100027900,0.0000,2058,10857.00,33546,2743,0,0,0,0,0,0,1795872.65,2832.62,0.00,0.00,0.00,0.00,0.00,0.00
100028900,0.0000,1888,10857.00,33546,2775,0,0,0,0,0,0,1795872.65,1285.81,0.00,0.00,0.00,0.00,0.00,0.00
100029906,0.0000,2046,10857.00,33548,2806,0,0,0,0,0,0,1891065.76,2994.71,0.00,0.00,0.00,0.00,0.00,0.00
100030907,0.0000,2096,10763.00,33549,2838,0,0,0,0,0,0,1834264.57,3821.51,0.00,0.00,0.00,0.00,0.00,0.00
100031913,0.0000,2058,10763.00,33549,2869,0,0,0,0,0,0,1834264.57,5324.39,0.00,0.00,0.00,0.00,0.00,0.00
100032913,0.0000,2117,10763.00,33549,2901,0,0,0,0,0,0,1834264.57,2213.80,0.00,0.00,0.00,0.00,0.00,0.00
100033919,0.0000,1995,10763.00,33549,2933,0,0,0,0,0,0,1834264.57,1328.00,0.00,0.00,0.00,0.00,0.00,0.00
100034919,0.0000,1934,10763.00,33551,2964,0,0,0,0,0,0,1873395.28,2845.76,0.00,0.00,0.00,0.00,0.00,0.00
100035919,0.0000,2058,10763.00,33551,2996,0,0,0,0,0,0,1873395.28,1361.30,0.00,0.00,0.00,0.00,0.00,0.00
100036919,0.0000,2058,10763.00,33551,3026,0,0,0,0,0,0,1873395.28,3567.87,0.00,0.00,0.00,0.00,0.00,0.00
100037925,0.0000,1940,10763.00,33551,3058,0,0,0,0,0,0,1873395.28,2781.89,0.00,0.00,0.00,0.00,0.00,0.00
100038926,0.0000,1999,10763.00,33551,3089,0,0,0,0,0,0,1873395.28,3601.36,0.00,0.00,0.00,0.00,0.00,0.00
100039932,0.0000,2042,10763.00,33553,3120,0,0,0,0,0,0,1959068.07,3027.36,0.00,0.00,0.00,0.00,0.00,0.00
100040932,0.0000,2006,10763.00,33553,3152,0,0,0,0,0,0,1959068.07,3873.98,0.00,0.00,0.00,0.00,0.00,0.00
100041932,0.0000,1999,10763.00,33553,3182,0,0,0,0,0,0,1959068.07,4128.45,0.00,0.00,0.00,0.00,0.00,0.00
100042939,0.0000,1936,10763.00,33553,3214,0,0,0,0,0,0,1959068.07,3251.37,0.00,0.00,0.00,0.00,0.00,0.00
100043945,0.0000,1999,10763.00,33553,3246,0,0,0,0,0,0,1959068.07,4303.51,0.00,0.00,0.00,0.00,0.00,0.00
100044945,0.0000,2046,10763.00,33555,3277,0,0,0,0,0,0,2034827.05,4064.28,0.00,0.00,0.00,0.00,0.00,0.00
100045945,0.0000,2148,10816.00,33556,3309,0,0,0,0,0,0,1976041.69,1774.16,0.00,0.00,0.00,0.00,0.00,0.00
100046945,0.0000,1947,10816.00,33556,3339,0,0,0,0,0,0,1976041.69,3454.39,0.00,0.00,0.00,0.00,0.00,0.00
