Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
123289,0.0000,1995,14971.00,34138,3432,2,0,0,0,0,0,1989807.40,3314.66,313067.75,0.00,0.00,0.00,0.00,0.00
124302,0.0000,1995,14971.00,34138,3464,2,0,0,0,0,0,1989807.40,2760.36,313067.75,0.00,0.00,0.00,0.00,0.00
125316,0.0000,2018,14971.00,34141,3496,2,0,0,0,0,0,2017804.55,1845.40,313067.75,0.00,0.00,0.00,0.00,0.00
126329,0.0000,2089,15664.00,34141,3528,2,0,0,0,0,0,2017804.55,4477.08,313067.75,0.00,0.00,0.00,0.00,0.00
127342,0.0000,2054,15664.00,34141,3560,2,0,0,0,0,0,2017804.55,3515.04,313067.75,0.00,0.00,0.00,0.00,0.00
128356,0.0000,1888,15664.00,34141,3592,2,0,0,0,0,0,2017804.55,2958.16,313067.75,0.00,0.00,0.00,0.00,0.00
129368,0.0000,2117,15664.00,34141,3624,2,0,0,0,0,0,2017804.55,2138.13,313067.75,0.00,0.00,0.00,0.00,0.00
130382,0.0000,2080,14317.00,34144,3655,2,0,0,0,0,0,2041129.72,3357.82,313067.75,0.00,0.00,0.00,0.00,0.00
131396,0.0000,1999,14317.00,34144,3687,2,0,0,0,0,0,2041129.72,2940.41,313067.75,0.00,0.00,0.00,0.00,0.00
132407,0.0000,1940,14317.00,34144,3719,2,0,0,0,0,0,2041129.72,2999.89,313067.75,0.00,0.00,0.00,0.00,0.00
133422,0.0000,1999,14317.00,34144,3750,2,0,0,0,0,0,2041129.72,4315.87,313067.75,0.00,0.00,0.00,0.00,0.00
134436,0.0000,1947,14317.00,34144,3782,2,0,0,0,0,0,2041129.72,4116.25,313067.75,0.00,0.00,0.00,0.00,0.00
135449,0.0000,2139,17014.00,34147,3814,2,0,0,0,0,0,2060629.00,4260.33,313067.75,0.00,0.00,0.00,0.00,0.00
136461,0.0000,2058,17014.00,34147,3846,2,0,0,0,0,0,2060629.00,4847.17,313067.75,0.00,0.00,0.00,0.00,0.00
137476,0.0000,1940,17014.00,34147,3877,2,0,0,0,0,0,2060629.00,4496.42,313067.75,0.00,0.00,0.00,0.00,0.00
138489,0.0000,2058,17014.00,34147,3909,2,0,0,0,0,0,2060629.00,4643.31,313067.75,0.00,0.00,0.00,0.00,0.00
139501,0.0000,2054,17014.00,34147,3942,2,0,0,0,0,0,2060629.00,2700.54,313067.75,0.00,0.00,0.00,0.00,0.00
140517,0.0000,2021,13074.00,34150,3973,2,0,0,0,0,0,2077406.91,3841.77,313067.75,0.00,0.00,0.00,0.00,0.00
141530,0.0000,2113,13074.00,34150,4005,2,0,0,0,0,0,2077406.91,3933.93,313067.75,0.00,0.00,0.00,0.00,0.00
142541,0.0000,1999,13074.00,34150,4036,2,0,0,0,0,0,2077406.91,3045.62,313067.75,0.00,0.00,0.00,0.00,0.00
143556,0.0000,1999,13074.00,34150,4068,2,0,0,0,0,0,2077406.91,3401.66,313067.75,0.00,0.00,0.00,0.00,0.00
144569,0.0000,1940,13074.00,34150,4100,2,0,0,0,0,0,2077406.91,4654.84,313067.75,0.00,0.00,0.00,0.00,0.00
145582,0.0000,2084,14616.00,34153,4131,2,0,0,0,0,0,2091043.76,4821.64,313067.75,0.00,0.00,0.00,0.00,0.00
146595,0.0000,1995,14616.00,34153,4163,2,0,0,0,0,0,2091043.76,4167.04,313067.75,0.00,0.00,0.00,0.00,0.00
147610,0.0000,1829,14616.00,34153,4194,2,0,0,0,0,0,2091043.76,3225.05,313067.75,0.00,0.00,0.00,0.00,0.00
148624,0.0000,2176,14616.00,34153,4227,2,0,0,0,0,0,2091043.76,2762.18,313067.75,0.00,0.00,0.00,0.00,0.00
149635,0.0000,1995,14616.00,34153,4258,2,0,0,0,0,0,2091043.76,3841.64,313067.75,0.00,0.00,0.00,0.00,0.00
150650,0.0000,2084,18803.00,34156,4290,2,0,0,0,0,0,2101891.61,2043.09,313067.75,0.00,0.00,0.00,0.00,0.00
151663,0.0000,1940,18803.00,34156,4322,2,0,0,0,0,0,2101891.61,2293.94,313067.75,0.00,0.00,0.00,0.00,0.00
152675,0.0000,1940,18803.00,34156,4353,2,0,0,0,0,0,2101891.61,4474.32,313067.75,0.00,0.00,0.00,0.00,0.00
153688,0.0000,2054,18803.00,34156,4386,2,0,0,0,0,0,2101891.61,2991.23,313067.75,0.00,0.00,0.00,0.00,0.00
154704,0.0000,1829,18803.00,34156,4417,2,0,0,0,0,0,2101891.61,3697.08,313067.75,0.00,0.00,0.00,0.00,0.00
155714,0.0000,2143,12426.00,34159,4449,2,0,0,0,0,0,2110110.20,2133.27,313067.75,0.00,0.00,0.00,0.00,0.00
156727,0.0000,1999,12426.00,34159,4481,2,0,0,0,0,0,2110110.20,3622.60,313067.75,0.00,0.00,0.00,0.00,0.00
157742,0.0000,1940,12426.00,34159,4513,2,0,0,0,0,0,2110110.20,2736.18,313067.75,0.00,0.00,0.00,0.00,0.00
158754,0.0000,1940,12426.00,34159,4545,2,0,0,0,0,0,2110110.20,2758.11,313067.75,0.00,0.00,0.00,0.00,0.00
159769,0.0000,1936,12426.00,34159,4576,2,0,0,0,0,0,2110110.20,3979.45,313067.75,0.00,0.00,0.00,0.00,0.00
