Timestamp(ms),IP_Address,RTT(ms),SequenceNum
57182,192.168.1.15|54310,20363,461
57221,192.168.1.8|53353,23701,80
57221,192.168.1.15|54310,20393,462
57269,192.168.1.15|54310,20434,463
57311,192.168.1.15|54310,20466,464
57372,192.168.1.15|54310,20517,465
57423,192.168.1.15|54310,20561,466
57484,192.168.1.15|54310,20613,467
57503,192.168.1.8|53353,23974,81
57518,192.168.1.15|54310,20639,468
57551,192.168.1.15|54310,20663,469
57602,192.168.1.15|54310,20706,470
57656,192.168.1.15|54310,20752,471
57669,192.168.1.15|54310,20757,472
57733,192.168.1.15|54310,20812,473
57781,192.168.1.8|53353,24244,82
57794,192.168.1.15|54310,20863,474
57844,192.168.1.15|54310,20904,475
57898,192.168.1.15|54310,20950,476
57939,192.168.1.15|54310,20982,477
57996,192.168.1.15|54310,21031,478
58040,192.168.1.15|54310,21067,479
58060,192.168.1.8|53353,24514,83
58089,192.168.1.15|54310,21108,480
58155,192.168.1.15|54310,21162,481
58220,192.168.1.15|54310,21219,482
58239,192.168.1.15|54310,21230,483
58298,192.168.1.8|53353,24744,84
58298,192.168.1.15|54310,21281,484
58354,192.168.1.15|54310,21328,485
58410,192.168.1.15|54310,21376,486
58452,192.168.1.15|54310,21408,487
58511,192.168.1.15|54310,21458,488
58543,192.168.1.15|54310,21482,489
58568,192.168.1.15|54310,21497,490
58608,192.168.1.8|53353,25044,85
58621,192.168.1.15|54310,21542,491
58678,192.168.1.15|54310,21590,492
58725,192.168.1.15|54310,21629,493
58745,192.168.1.15|54310,21640,494
58816,192.168.1.15|54310,21703,495
58869,192.168.1.15|54310,21747,496
58876,192.168.1.8|53353,25304,86
58913,192.168.1.15|54310,21783,497
58977,192.168.1.15|54310,21839,498
59009,192.168.1.15|54310,21861,499
59068,192.168.1.15|54310,21912,500
59106,192.168.1.15|54310,21941,501
59133,192.168.1.8|53353,25552,87
59181,192.168.1.15|54310,22008,502
59220,192.168.1.15|54310,22037,503
59260,192.168.1.15|54310,22069,504
59317,192.168.1.15|54310,22118,505
59348,192.168.1.15|54310,22139,506
59415,192.168.1.15|54310,22199,507
59461,192.168.1.8|53353,25870,88
59475,192.168.1.15|54310,22249,508
59509,192.168.1.15|54310,22275,509
59549,192.168.1.15|54310,22307,510
59615,192.168.1.15|54310,22365,511
59673,192.168.1.15|54310,22414,512
59723,192.168.1.15|54310,22453,513
59723,192.168.1.8|53353,26124,89
59787,192.168.1.15|54310,22509,514
59841,192.168.1.15|54310,22555,515
59873,192.168.1.15|54310,22578,516
59929,192.168.1.15|54310,22626,517
59989,192.168.1.15|54310,22678,518
59989,192.168.1.8|53353,26380,90
60035,192.168.1.15|54310,22713,519
60072,192.168.1.15|54310,22740,520
60131,192.168.1.15|54310,22792,521
60195,192.168.1.15|54310,22846,522
60235,192.168.1.15|54310,22874,523
60275,192.168.1.8|53353,26657,91
60298,192.168.1.15|54310,22929,524
60359,192.168.1.15|54310,22981,525
60383,192.168.1.15|54310,22997,526
60417,192.168.1.15|54310,23021,527
60490,192.168.1.15|54310,23086,528
60550,192.168.1.8|53353,26924,92
60550,192.168.1.15|54310,23137,529
60577,192.168.1.15|54310,23157,530
60615,192.168.1.15|54310,23186,531
60700,192.168.1.15|54310,23264,532
60752,192.168.1.15|54310,23307,533
60810,192.168.1.15|54310,23357,534
60830,192.168.1.8|53353,27196,93
60830,192.168.1.15|54310,23368,535
60893,192.168.1.15|54310,23423,536
60953,192.168.1.15|54310,23475,537
61020,192.168.1.15|54310,23531,538
61057,192.168.1.15|54310,23560,539
61095,192.168.1.15|54310,23589,540
61128,192.168.1.8|53353,27485,94
61162,192.168.1.15|54310,23649,541
61213,192.168.1.15|54310,23691,542
61247,192.168.1.15|54310,23717,543
61299,192.168.1.15|54310,23759,544
61332,192.168.1.15|54310,23782,545
61394,192.168.1.8|53353,27740,95
61394,192.168.1.15|54310,23836,546
61446,192.168.1.15|54310,23879,547
61494,192.168.1.15|54310,23919,548
61552,192.168.1.15|54310,23968,549
61599,192.168.1.15|54310,24007,550
61635,192.168.1.15|54310,24034,551
61694,192.168.1.8|53353,28033,96
61694,192.168.1.15|54310,24086,552
61735,192.168.1.15|54310,24118,553
61825,192.168.1.15|54310,24197,554
61864,192.168.1.15|54310,24228,555
61912,192.168.1.15|54310,24267,556
61953,192.168.1.8|53353,28283,97
61972,192.168.1.15|54310,24318,557
62025,192.168.1.15|54310,24363,558
62079,192.168.1.15|54310,24409,559
62111,192.168.1.15|54310,24433,560
62181,192.168.1.15|54310,24494,561
62214,192.168.1.8|53353,28536,98
62240,192.168.1.15|54310,24544,562
62286,192.168.1.15|54310,24581,563
62345,192.168.1.15|54310,24632,564
62411,192.168.1.15|54310,24689,565
62457,192.168.1.15|54310,24727,566
62483,192.168.1.8|53353,28796,99
62489,192.168.1.15|54310,24750,567
62551,192.168.1.15|54310,24804,568
62611,192.168.1.15|54310,24855,569
62656,192.168.1.15|54310,24892,570
62690,192.168.1.15|54310,24916,571
62735,192.168.1.15|54310,24951,572
62810,192.168.1.15|54310,25018,573
62843,192.168.1.15|54310,25042,574
62903,192.168.1.15|54310,25094,575
62936,192.168.1.15|54310,25118,576
62943,192.168.1.8|53353,29248,100
62996,192.168.1.15|54310,25169,577
63042,192.168.1.15|54310,25207,578
63081,192.168.1.15|54310,25238,579
63153,192.168.1.15|54310,25301,580
63200,192.168.1.15|54310,25338,581
63245,192.168.1.15|54310,25374,582
63296,192.168.1.15|54310,25416,583
63356,192.168.1.15|54310,25469,584
63415,192.168.1.15|54310,25519,585
63450,192.168.1.8|53353,29746,101
63469,192.168.1.15|54310,25565,586
63509,192.168.1.15|54310,25597,587
63541,192.168.1.15|54310,25619,588
63621,192.168.1.15|54310,25691,589
63665,192.168.1.15|54310,25726,590
63697,192.168.1.15|54310,25750,591
63761,192.168.1.15|54310,25805,592
63806,192.168.1.15|54310,25842,593
63826,192.168.1.15|54310,25853,594
63912,192.168.1.15|54310,25931,595
63946,192.168.1.15|54310,25957,596
63992,192.168.1.15|54310,25995,597
64020,192.168.1.15|54310,26013,598
64054,192.168.1.15|54310,26040,599
64114,192.168.1.15|54310,26091,600
64151,192.168.1.15|54310,26119,601
64215,192.168.1.15|54310,26175,602
64262,192.168.1.15|54310,26211,603
64268,192.168.1.8|53353,30556,102
64321,192.168.1.15|54310,26262,604
64388,192.168.1.15|54310,26320,605
64443,192.168.1.15|54310,26367,606
64489,192.168.1.15|54310,26405,607
64557,192.168.1.15|54310,26462,608
64598,192.168.1.15|54310,26495,609
64659,192.168.1.15|54310,26545,610
64710,192.168.1.15|54310,26588,611
64748,192.168.1.15|54310,26618,612
64804,192.168.1.15|54310,26666,613
64875,192.168.1.15|54310,26728,614
64914,192.168.1.15|54310,26757,615
