Timestamp(ms),IP_Address,RTT(ms),SequenceNum
346598,192.168.1.8,327759,219
348090,192.168.1.15,329243,220
348096,192.168.1.8,329248,220
349585,192.168.1.15,330730,221
349591,192.168.1.8,330735,221
351083,192.168.1.15,332219,222
351114,192.168.1.8,332249,222
352584,192.168.1.15,333711,223
352591,192.168.1.8,333717,223
354091,192.168.1.15,335209,224
354116,192.168.1.8,335233,224
355572,192.168.1.15,336682,225
355586,192.168.1.8,336695,225
357084,192.168.1.15,338185,226
357098,192.168.1.8,338198,226
358588,192.168.1.15,339681,227
358600,192.168.1.8,339691,227
360110,192.168.1.15,341194,228
360123,192.168.1.8,341205,228
361618,192.168.1.15,342693,229
361637,192.168.1.8,342711,229
363119,192.168.1.15,344185,230
363132,192.168.1.8,344197,230
364597,192.168.1.15,345655,231
364609,192.168.1.8,345665,231
366118,192.168.1.15,347167,232
366132,192.168.1.8,347180,232
367623,192.168.1.15,348663,233
367629,192.168.1.8,348668,233
369148,192.168.1.15,350179,234
369160,192.168.1.8,350190,234
370647,192.168.1.15,351669,235
370660,192.168.1.8,351681,235
372135,192.168.1.15,353149,236
372142,192.168.1.8,353154,236
373622,192.168.1.15,354627,237
373635,192.168.1.8,354639,237
375131,192.168.1.15,356127,238
375137,192.168.1.8,356132,238
376634,192.168.1.15,357621,239
376641,192.168.1.8,357627,239
378143,192.168.1.8,359120,240
378149,192.168.1.15,359127,240
379645,192.168.1.15,360615,241
379653,192.168.1.8,360622,241
381164,192.168.1.15,362125,242
381170,192.168.1.8,362130,242
382668,192.168.1.15,363621,243
382680,192.168.1.8,363631,243
384191,192.168.1.15,365135,244
384210,192.168.1.8,365152,244
385699,192.168.1.15,366633,245
385705,192.168.1.8,366637,245
387197,192.168.1.15,368122,246
387216,192.168.1.8,368140,246
388693,192.168.1.15,369609,247
388706,192.168.1.8,369621,247
390198,192.168.1.15,371106,248
390198,192.168.1.8,371104,248
391689,192.168.1.15,372588,249
391702,192.168.1.8,372599,249
393185,192.168.1.15,374073,250
393216,192.168.1.8,374103,250
394693,192.168.1.15,375573,251
394718,192.168.1.8,375597,251
396205,192.168.1.15,377076,252
396217,192.168.1.8,377087,252
397710,192.168.1.15,378572,253
397716,192.168.1.8,378577,253
399222,192.168.1.8,380074,254
399229,192.168.1.15,380083,254
400719,192.168.1.15,381564,255
400740,192.168.1.8,381584,255
402233,192.168.1.15,383069,256
402245,192.168.1.8,383080,256
403758,192.168.1.15,384585,257
403758,192.168.1.8,384584,257
405263,192.168.1.15,386082,258
405275,192.168.1.8,386092,258
406779,192.168.1.15,387589,259
406779,192.168.1.8,387587,259
408297,192.168.1.15,389098,260
408311,192.168.1.8,389111,260
409837,192.168.1.15,390629,261
409849,192.168.1.8,390640,261
411321,192.168.1.15,392104,262
411345,192.168.1.8,392127,262
412836,192.168.1.15,393611,263
412849,192.168.1.8,393622,263
414362,192.168.1.15,395128,264
414362,192.168.1.8,395127,264
415865,192.168.1.15,396622,265
415879,192.168.1.8,396635,265
417379,192.168.1.8,398126,266
417379,192.168.1.15,398127,266
418878,192.168.1.15,399617,267
418884,192.168.1.8,399622,267
420375,192.168.1.15,401106,268
420387,192.168.1.8,401116,268
421864,192.168.1.15,402586,269
421883,192.168.1.8,402604,269
423370,192.168.1.15,404083,270
423382,192.168.1.8,404094,270
424877,192.168.1.15,405580,271
424896,192.168.1.8,405598,271
426396,192.168.1.15,407090,272
426409,192.168.1.8,407102,272
427919,192.168.1.15,408605,273
427925,192.168.1.8,408609,273
429405,192.168.1.15,410082,274
429429,192.168.1.8,410105,274
430903,192.168.1.15,411571,275
430921,192.168.1.8,411587,275
432400,192.168.1.8,413058,276
432400,192.168.1.15,413059,276
433906,192.168.1.15,414556,277
433918,192.168.1.8,414567,277
435408,192.168.1.15,416049,278
435426,192.168.1.8,416066,278
436920,192.168.1.15,417553,279
436920,192.168.1.8,417551,279
438429,192.168.1.15,419052,280
438436,192.168.1.8,419057,280
439914,192.168.1.15,420528,281
439951,192.168.1.8,420564,281
441444,192.168.1.15,422049,282
441450,192.168.1.8,422054,282
442950,192.168.1.15,423547,283
442974,192.168.1.8,423569,283
444455,192.168.1.15,425043,284
444473,192.168.1.8,425060,284
445960,192.168.1.15,426539,285
445972,192.168.1.8,426550,285
447480,192.168.1.15,428050,286
447485,192.168.1.8,428054,286
448971,192.168.1.15,429533,287
448977,192.168.1.8,429537,287
450467,192.168.1.15,431020,288
450497,192.168.1.8,431048,288
451960,192.168.1.15,432504,289
451960,192.168.1.8,432502,289
453452,192.168.1.15,433987,290
453465,192.168.1.8,433999,290
454948,192.168.1.15,435474,291
454961,192.168.1.8,435486,291
456474,192.168.1.15,436990,292
456487,192.168.1.8,437002,292
457971,192.168.1.15,438479,293
457983,192.168.1.8,438489,293
459467,192.168.1.15,439966,294
459494,192.168.1.8,439992,294
460940,192.168.1.15,441431,295
460960,192.168.1.8,441449,295
462449,192.168.1.15,442930,296
462455,192.168.1.8,442935,296
463961,192.168.1.15,444434,297
463967,192.168.1.8,444438,297
465479,192.168.1.15,445942,298
465499,192.168.1.8,445961,298
466986,192.168.1.15,447441,299
467016,192.168.1.8,447469,299
468469,192.168.1.15,448915,300
468475,192.168.1.8,448920,300
469975,192.168.1.15,450412,301
470018,192.168.1.8,450454,301
471472,192.168.1.15,451900,302
471491,192.168.1.8,451918,302
472986,192.168.1.15,453405,303
472992,192.168.1.8,453410,303
474500,192.168.1.15,454910,304
474513,192.168.1.8,454922,304
475990,192.168.1.15,456391,305
475996,192.168.1.8,456396,305
477490,192.168.1.15,457883,306
477506,192.168.1.8,457897,306
478979,192.168.1.15,459363,307
479001,192.168.1.8,459383,307
480492,192.168.1.15,460866,308
480512,192.168.1.8,460884,308
482033,192.168.1.15,462398,309
482039,192.168.1.8,462403,309
483545,192.168.1.15,463901,310
483551,192.168.1.8,463906,310
485048,192.168.1.15,465396,311
485060,192.168.1.8,465406,311
486545,192.168.1.15,466884,312
486557,192.168.1.8,466894,312
488075,192.168.1.15,468405,313
488088,192.168.1.8,468416,313
489585,192.168.1.15,469906,314
489585,192.168.1.8,469904,314
491083,192.168.1.15,471395,315
491095,192.168.1.8,471406,315
492591,192.168.1.15,472894,316
492609,192.168.1.8,472911,316
494112,192.168.1.15,474406,317
494119,192.168.1.8,474412,317
495609,192.168.1.15,475894,318
495627,192.168.1.8,475911,318
497129,192.168.1.15,477405,319
497155,192.168.1.8,477430,319
498653,192.168.1.15,478921,320
498660,192.168.1.8,478926,320
500175,192.168.1.15,480434,321
500200,192.168.1.8,480458,321
501646,192.168.1.15,481896,322
501665,192.168.1.8,481914,322
503173,192.168.1.15,483414,323
503186,192.168.1.8,483426,323
504664,192.168.1.15,484896,324
504682,192.168.1.8,484913,324
506171,192.168.1.15,486395,325
506177,192.168.1.8,486399,325
507677,192.168.1.15,487892,326
507690,192.168.1.8,487904,326
509191,192.168.1.15,489397,327
509197,192.168.1.8,489402,327
510695,192.168.1.15,490892,328
510707,192.168.1.8,490903,328
512209,192.168.1.15,492398,329
512221,192.168.1.8,492408,329
513707,192.168.1.15,493887,330
